id,created_at,text,user
1904571038031131051,2025-03-25 16:28:15+00:00,"@Honest_Podzilla @itsnotnotfunny @MsJazzybelle @dallaskaydenn Realistic, now if you make government enforced policies to change that, by quota for instance, then you reintroduce racially motivated laws, making people unequal in law and starting an appartheid system.  You know, actual racism.",KiranaSurabayaX
1904571034218430686,2025-03-25 16:28:14+00:00,"@TheeCinemaKid @Alex_kane11 @Cilleos @nyaghta @DeemTheDreem He viewed organised religion as a tool to repress workers, and the upper strata of religions as ruling class. It has nothing to do with anti semitism, or racism.",ThCknWngMn
1904571031466942708,2025-03-25 16:28:13+00:00,"RT @joshxhowie: Damning clip of this smug twat.  Let’s break it down:  1. She’s passionate in her antisemitism, which is to be admired.   2…",anti_two_teir
1904571008020775400,2025-03-25 16:28:08+00:00,"RT @UN_News_Centre: ""Ignorance allows for racism, but racism requires ignorance."" - Sarah Lewis, Associate Professor of African and African…",SpecialGN_UN
1904571003830706417,2025-03-25 16:28:07+00:00,"RT @Mivasair: #Genocide promoter @MelissaLantsman is a manipulative liar. There was no antisemitism, no threats, no one was ""lawless"".  She…",pvralien
1904570999640649835,2025-03-25 16:28:06+00:00,RT @IndiaWilloughby: Transphobia is a bigotry. No different to racism. The biggest victims of this insane witch-hunt of trans female athlet…,PaulSimon1971
1904570986470465834,2025-03-25 16:28:03+00:00,"RT @cb_doge: ELON MUSK: ""The South African government has over 100 laws that institutionalize racism against whites and asians.""   https://…",JDV1288591
1904570978224542141,2025-03-25 16:28:01+00:00,@CamillaTominey What racism? Were they watching the same video the rest of us were?🤷🏽‍♀️,CherylWroteIt
1904570977905782839,2025-03-25 16:28:01+00:00,RT @CamillaTominey: There's no underlying racism - yet another slur used by the left when they lose an argument. We see you.,Breteyne
1904570975242391634,2025-03-25 16:28:00+00:00,RT @BeckettUnite: Keir Starmer:  •If you are Christian Ukrainian 🇺🇦 every atrocity is war crime &amp; you are welcome in 🇬🇧  •If you are Muslim…,Wopplepop
1904570974067925339,2025-03-25 16:28:00+00:00,@pookiepolls Went to a bonfire somewhere in the boons of Montana. They were singing songs of stringing up black people and watching em swing. I then played red neck hoe by icp because fuck racism. I bet you'd be singing songs like the first one. You're a hypocrite stfu,JesterSlim9002
